game_id,season_year,week,date,season_type,home_team,away_team,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
401856766,2026,1,2026-08-29,regular,TCU,North Carolina,10,15,0,regular,regular,1,Aer Lingus College Football Classic
401864494,2026,1,2026-08-29,regular,USC,San José State,42,26,0,regular,regular,0,
401858202,2026,1,2026-08-29,regular,Virginia,NC State,34,8,0,regular,regular,0,
401864577,2026,1,2026-08-29,regular,North Dakota State,Jacksonville State,33,7,0,regular,regular,0,
401866408,2026,1,2026-08-29,regular,Eastern Michigan,Sacramento State,28,17,0,regular,regular,0,
401864570,2026,1,2026-08-29,regular,Florida State,New Mexico State,34,17,0,regular,regular,0,
401858201,2026,1,2026-08-29,regular,Stanford,Hawai'i,37,27,0,regular,regular,0,
401862693,2026,1,2026-08-30,regular,UNLV,Memphis,21,27,0,regular,regular,0,
401858423,2026,1,2026-09-03,regular,Rutgers,Massachusetts,21,37,0,regular,regular,0,
401858204,2026,1,2026-09-03,regular,Wake Forest,Akron,38,16,0,regular,regular,0,
401856776,2026,1,2026-09-04,regular,Georgia Tech,Colorado,13,14,0,regular,regular,0,
401858424,2026,1,2026-09-04,regular,Illinois,UAB,42,23,0,regular,regular,0,
401864495,2026,1,2026-09-04,regular,Eastern Michigan,San José State,21,27,0,regular,regular,0,
401858429,2026,1,2026-09-05,regular,Michigan State,Toledo,30,20,0,regular,regular,0,
401856664,2026,1,2026-09-05,regular,Oklahoma,UTEP,51,0,0,regular,regular,0,
401858436,2026,1,2026-09-05,regular,USC,Fresno State,39,0,0,regular,regular,0,
401858206,2026,1,2026-09-05,regular,Stanford,Miami,6,45,0,regular,regular,0,
401858430,2026,1,2026-09-05,regular,Nebraska,Ohio,49,21,0,regular,regular,0,
401856634,2026,1,2026-09-05,regular,Alabama,East Carolina,48,10,0,regular,regular,0,
401856778,2026,1,2026-09-05,regular,Houston,Oregon State,33,20,0,regular,regular,0,
401858425,2026,1,2026-09-05,regular,Indiana,North Texas,52,16,0,regular,regular,0,
401856780,2026,1,2026-09-05,regular,West Virginia,Coastal Carolina,31,24,0,regular,regular,0,
401869960,2026,1,2026-09-05,regular,James Madison,Liberty,20,13,0,regular,regular,0,
401858207,2026,1,2026-09-05,regular,Pittsburgh,Miami (OH),59,14,0,regular,regular,0,
401858432,2026,1,2026-09-05,regular,Ohio State,Ball State,56,3,0,regular,regular,0,
401856665,2026,1,2026-09-05,regular,South Carolina,Kent State,57,0,0,regular,regular,0,
401858434,2026,1,2026-09-05,regular,Penn State,Marshall,45,0,0,regular,regular,0,
401856636,2026,1,2026-09-05,regular,Auburn,Baylor,17,16,0,regular,regular,1,Aflac Kickoff
401856777,2026,1,2026-09-05,regular,Cincinnati,Boston College,34,15,0,regular,regular,0,
401858209,2026,1,2026-09-05,regular,Duke,Tulane,17,3,0,regular,regular,0,
401858433,2026,1,2026-09-05,regular,Oregon,Boise State,34,27,0,regular,regular,0,
401856667,2026,1,2026-09-05,regular,Texas,Texas State,59,7,0,regular,regular,0,
401856772,2026,1,2026-09-05,regular,Tulsa,Oklahoma State,24,10,0,regular,regular,0,
401858426,2026,1,2026-09-05,regular,Iowa,Northern Illinois,40,0,0,regular,regular,0,
401860878,2026,1,2026-09-05,regular,Colorado State,Wyoming,35,13,0,regular,regular,0,
401862695,2026,1,2026-09-05,regular,Memphis,Arkansas State,42,24,0,regular,regular,0,
401870763,2026,1,2026-09-05,regular,Troy,Sam Houston,24,21,0,regular,regular,0,
401856668,2026,1,2026-09-05,regular,Texas A&M,Missouri State,50,0,0,regular,regular,0,
401862699,2026,1,2026-09-05,regular,South Florida,Florida International,19,9,0,regular,regular,0,
401856662,2026,1,2026-09-05,regular,Mississippi State,UL Monroe,62,13,0,regular,regular,0,
401856660,2026,1,2026-09-05,regular,LSU,Clemson,51,10,0,regular,regular,0,
401858428,2026,1,2026-09-05,regular,Michigan,Western Michigan,13,12,0,regular,regular,0,
