game_id,season_year,week,date,season_type,home_team,away_team,home_conference,away_conference,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
61709,1998,1,1998-08-29,regular,Nebraska,Louisiana Tech,Big 12,FBS Independents,56,27,0,regular,regular,0,
61708,1998,1,1998-08-29,regular,Michigan State,Colorado State,Big Ten,Western Athletic,16,23,0,regular,regular,0,
61710,1998,1,1998-08-30,regular,USC,Purdue,Pac-10,Big Ten,27,17,0,regular,regular,0,
61711,1998,1,1998-08-31,regular,Florida State,Texas A&M,ACC,Big 12,23,14,0,regular,regular,0,
61715,1998,2,1998-09-03,regular,Auburn,Virginia,SEC,ACC,0,19,0,regular,regular,0,
61716,1998,2,1998-09-03,regular,Western Michigan,Northern Illinois,Mid-American,Mid-American,37,23,0,regular,regular,0,
61713,1998,2,1998-09-03,regular,NC State,Ohio,ACC,Mid-American,34,31,0,regular,regular,0,
61712,1998,2,1998-09-03,regular,Hawai'i,Arizona,Western Athletic,Pac-10,6,27,0,regular,regular,0,
61766,1998,2,1998-09-05,regular,Arizona State,Washington,Pac-10,Pac-10,38,42,0,regular,regular,0,
61728,1998,2,1998-09-05,regular,Georgia,Kent State,SEC,Mid-American,56,3,0,regular,regular,0,
61762,1998,2,1998-09-05,regular,Cincinnati,Tulane,Conference USA,Conference USA,34,52,0,regular,regular,0,
61765,1998,2,1998-09-05,regular,Virginia Tech,East Carolina,Big East,Conference USA,38,3,0,regular,regular,0,
61761,1998,2,1998-09-05,regular,Toledo,Temple,Mid-American,Big East,24,12,0,regular,regular,0,
61719,1998,2,1998-09-05,regular,Arkansas,Louisiana,SEC,FBS Independents,38,17,0,regular,regular,0,
61721,1998,2,1998-09-05,regular,Georgia Tech,Boston College,ACC,Big East,31,41,0,regular,regular,0,
61747,1998,2,1998-09-05,regular,Oklahoma,North Texas,Big 12,Big West,37,9,0,regular,regular,0,
61737,1998,2,1998-09-05,regular,North Carolina,Miami (OH),ACC,Mid-American,10,13,0,regular,regular,0,
61732,1998,2,1998-09-05,regular,Louisville,Kentucky,Conference USA,SEC,34,68,0,regular,regular,0,
61755,1998,2,1998-09-05,regular,Stanford,San José State,Pac-10,Western Athletic,23,35,0,regular,regular,0,
61758,1998,2,1998-09-05,regular,Texas,New Mexico State,Big 12,Big West,66,36,0,regular,regular,0,
61717,1998,2,1998-09-05,regular,Air Force,Wake Forest,Western Athletic,ACC,42,0,0,regular,regular,0,
61740,1998,2,1998-09-05,regular,Mississippi State,Vanderbilt,SEC,SEC,42,0,0,regular,regular,0,
61750,1998,2,1998-09-05,regular,Oregon State,Nevada,Pac-10,Big West,48,6,0,regular,regular,0,
61760,1998,2,1998-09-05,regular,Texas Tech,UTEP,Big 12,Western Athletic,35,3,0,regular,regular,0,
61751,1998,2,1998-09-05,regular,Penn State,Southern Miss,Big Ten,Conference USA,34,6,0,regular,regular,0,
61734,1998,2,1998-09-05,regular,Akron,Marshall,Mid-American,Mid-American,16,27,0,regular,regular,0,
61749,1998,2,1998-09-05,regular,Oregon,Michigan State,Pac-10,Big Ten,48,14,0,regular,regular,0,
61764,1998,2,1998-09-05,regular,Utah State,Utah,Big West,Western Athletic,12,20,0,regular,regular,0,
61722,1998,2,1998-09-05,regular,California,Houston,Pac-10,Conference USA,14,10,0,regular,regular,0,
61767,1998,2,1998-09-05,regular,Washington State,Illinois,Pac-10,Big Ten,20,13,0,regular,regular,0,
61759,1998,2,1998-09-05,regular,Iowa State,TCU,Big 12,Western Athletic,21,31,0,regular,regular,0,
61768,1998,2,1998-09-05,regular,San Diego State,Wisconsin,Western Athletic,Big Ten,14,26,0,regular,regular,0,
61756,1998,2,1998-09-05,regular,South Carolina,Ball State,SEC,Mid-American,38,20,0,regular,regular,0,
61738,1998,2,1998-09-05,regular,Minnesota,Arkansas State,Big Ten,FBS Independents,17,14,0,regular,regular,0,
61723,1998,2,1998-09-05,regular,Louisiana Tech,UCF,FBS Independents,FBS Independents,30,64,0,regular,regular,0,
61746,1998,2,1998-09-05,regular,West Virginia,Ohio State,Big East,Big Ten,17,34,0,regular,regular,0,
61742,1998,2,1998-09-05,regular,Nebraska,UAB,Big 12,FBS Independents,38,7,0,regular,regular,0,
61753,1998,2,1998-09-05,regular,Rice,SMU,Western Athletic,Western Athletic,23,17,0,regular,regular,0,
61741,1998,2,1998-09-05,regular,Missouri,Bowling Green,Big 12,Mid-American,37,0,0,regular,regular,0,
61725,1998,2,1998-09-05,regular,Colorado,Colorado State,Big 12,Western Athletic,42,14,0,regular,regular,0,
61757,1998,2,1998-09-05,regular,Syracuse,Tennessee,Big East,SEC,33,34,0,regular,regular,0,
61739,1998,2,1998-09-05,regular,Ole Miss,Memphis,SEC,Conference USA,30,10,0,regular,regular,0,
61745,1998,2,1998-09-05,regular,Notre Dame,Michigan,FBS Independents,Big Ten,36,20,0,regular,regular,0,
61718,1998,2,1998-09-05,regular,Alabama,BYU,SEC,Western Athletic,38,31,0,regular,regular,0,
61744,1998,2,1998-09-05,regular,Northwestern,UNLV,Big Ten,Western Athletic,41,7,0,regular,regular,0,
61748,1998,2,1998-09-05,regular,Kansas,Oklahoma State,Big 12,Big 12,28,38,0,regular,regular,0,
61730,1998,2,1998-09-05,regular,Iowa,Central Michigan,Big Ten,Mid-American,38,0,0,regular,regular,0,
61769,1998,3,1998-09-10,regular,Wake Forest,Navy,ACC,FBS Independents,26,14,0,regular,regular,0,
61808,1998,3,1998-09-12,regular,Oregon State,Baylor,Pac-10,Big 12,27,17,0,regular,regular,0,
61784,1998,3,1998-09-12,regular,Florida,UL Monroe,SEC,FBS Independents,42,10,0,regular,regular,0,
61806,1998,3,1998-09-12,regular,TCU,Oklahoma,Western Athletic,Big 12,9,10,0,regular,regular,0,
61796,1998,3,1998-09-12,regular,Army,Miami (OH),Conference USA,Mid-American,13,14,0,regular,regular,0,
61801,1998,3,1998-09-12,regular,California,Nebraska,Pac-10,Big 12,3,24,0,regular,regular,0,
61774,1998,3,1998-09-12,regular,Ole Miss,Auburn,SEC,SEC,0,17,0,regular,regular,0,
61814,1998,3,1998-09-12,regular,North Texas,Texas Tech,Big West,Big 12,0,30,0,regular,regular,0,
61817,1998,3,1998-09-12,regular,UCLA,Texas,Pac-10,Big 12,49,31,0,regular,regular,0,
